"","DSSalary","StateName","StateAbbr","DSJobCount","RPP2017","MHI","MHINewRank","HasDSJobs","RPP2017Percent","AdjDSSalary","AdjMHI","RatioSalMHI","RankDSSalary","RankAdjDSSalary","RankMHI","RankAdjMHI","RankRatioSalMHI","StateName2","DSSalaryFlag","MHIFlag","AdjDSSalaryFlag","AdjMHIFlag","RatioSalMHIFlag"
"1",129478,"New York","NY",12,115.8,64894,14,"YES",1.158,111811.744386874,56039.7236614853,1.99522297901193,50,15,37,10,34,"New York","TOP15","TOP15","","BOTTOM10",""
"2",128450,"Massachusetts","MA",8,107.9,77385,4,"YES",1.079,119045.412418906,71719.1844300278,1.65988240615106,49,30,47,49,13,"Massachusetts","TOP15","TOP15","","TOP15",""
"3",125932,"New Hampshire","NH",NA,105.8,73381,6,"NO",1.058,119028.355387524,69358.2230623818,1.71613905506875,48,29,45,43,14,"New Hampshire","TOP15","TOP15","","TOP15",""
"4",119868,"Maryland","MD",2,109.4,80776,1,"YES",1.094,109568.555758684,73835.466179159,1.48395563038526,47,10,50,50,2,"Maryland","TOP15","TOP15","BOTTOM10","TOP15","BOTTOM10"
"5",118625,"Vermont","VT",NA,102.5,57513,27,"NO",1.025,115731.707317073,56110.243902439,2.06257715646897,46,25,24,11,38,"Vermont","TOP15","","","","TOP15"
"6",118565,"Hawaii","HI",NA,118.5,77765,3,"NO",1.185,100054.852320675,65624.4725738397,1.52465762232367,45,3,48,37,3,"Hawaii","TOP15","TOP15","BOTTOM10","TOP15","BOTTOM10"
"7",118327,"Alaska","AK",NA,104.4,73181,7,"NO",1.044,113340.038314176,70096.7432950192,1.61690876047061,41.5,19,44,45,5,"Alaska","TOP15","TOP15","","TOP15","BOTTOM10"
"8",118327,"Montana","MT",NA,94.6,53386,37,"NO",0.946,125081.395348837,56433.4038054968,2.21644251301839,41.5,45,14,14,43,"Montana","TOP15","","TOP15","","TOP15"
"9",118327,"North Dakota","ND",NA,90.1,61843,18,"NO",0.901,131328.523862375,68638.179800222,1.91334508351794,41.5,48,33,41,29,"North Dakota","TOP15","","TOP15","TOP15",""
"10",118327,"Wyoming","WY",NA,95.2,60434,19,"NO",0.952,124293.067226891,63481.0924369748,1.95795413178012,41.5,43,32,31,30,"Wyoming","TOP15","","TOP15","",""
"11",118327,"Nevada","NV",NA,97.6,58003,26,"NO",0.976,121236.680327869,59429.3032786885,2.04001517162905,41.5,33,25,20,37,"Nevada","TOP15","","","","TOP15"
"12",118327,"Idaho","ID",NA,93,52225,40,"NO",0.93,127233.333333333,56155.9139784946,2.26571565342269,41.5,47,11,12,45,"Idaho","TOP15","","TOP15","","TOP15"
"13",118175,"Nebraska","NE",NA,89.6,59970,21,"NO",0.896,131891.741071429,66930.8035714286,1.97056861764215,38,50,30,39,31,"Nebraska","TOP15","","TOP15","TOP15",""
"14",118099,"California","CA",38,114.8,71805,8,"YES",1.148,102873.693379791,62547.9094076655,1.64471833437783,37,5,43,28,10,"California","TOP15","TOP15","BOTTOM10","","BOTTOM10"
