Id,Target Geo Id,Target Geo Id2,Rank,Geographical Area,EST MEDIAN HOUSEHOLD INCOME Dollar,Margin of Error
0100000US,0100000US,,,United States,60336,86
0100000US,0400000US11,11,1,District of Columbia,82372,2651
0100000US,0400000US24,24,2,Maryland,80776,707
0100000US,0400000US34,34,3,New Jersey,80088,672
0100000US,0400000US15,15,4,Hawaii,77765,1795
0100000US,0400000US25,25,5,Massachusetts,77385,907
0100000US,0400000US09,9,6,Connecticut,74168,1345
0100000US,0400000US33,33,7,New Hampshire,73381,1694
0100000US,0400000US02,2,8,Alaska,73181,2628
0100000US,0400000US06,6,9,California,71805,294
0100000US,0400000US51,51,10,Virginia,71535,544
0100000US,0400000US53,53,11,Washington,70979,583
0100000US,0400000US08,8,12,Colorado,69117,780
0100000US,0400000US27,27,13,Minnesota,68388,658
0100000US,0400000US49,49,14,Utah,68358,1229
0100000US,0400000US36,36,15,New York,64894,507
0100000US,0400000US44,44,16,Rhode Island,63870,1861
0100000US,0400000US17,17,17,Illinois,62992,544
0100000US,0400000US10,10,18,Delaware,62852,2464
0100000US,0400000US38,38,19,North Dakota,61843,1052
0100000US,0400000US56,56,20,Wyoming,60434,1759
0100000US,0400000US41,41,21,Oregon,60212,796
0100000US,0400000US31,31,22,Nebraska,59970,1014
0100000US,0400000US55,55,23,Wisconsin,59305,587
0100000US,0400000US48,48,24,Texas,59206,490
0100000US,0400000US42,42,25,Pennsylvania,59195,443
0100000US,0400000US19,19,26,Iowa,58570,851
0100000US,0400000US32,32,27,Nevada,58003,947
0100000US,0400000US50,50,28,Vermont,57513,2088
0100000US,0400000US04,4,29,Arizona,56581,516
0100000US,0400000US46,46,30,South Dakota,56521,1314
0100000US,0400000US20,20,31,Kansas,56422,702
0100000US,0400000US23,23,32,Maine,56277,1168
0100000US,0400000US13,13,33,Georgia,56183,572
0100000US,0400000US26,26,34,Michigan,54909,440
0100000US,0400000US18,18,35,Indiana,54181,658
0100000US,0400000US39,39,36,Ohio,54021,411
0100000US,0400000US29,29,37,Missouri,53578,629
0100000US,0400000US30,30,38,Montana,53386,1427
0100000US,0400000US37,37,39,North Carolina,52752,510
0100000US,0400000US12,12,40,Florida,52594,364
0100000US,0400000US16,16,41,Idaho,52225,871
0100000US,0400000US47,47,42,Tennessee,51340,410
0100000US,0400000US45,45,43,South Carolina,50570,532
0100000US,0400000US40,40,44,Oklahoma,50051,575
0100000US,0400000US21,21,45,Kentucky,48375,630
0100000US,0400000US01,1,46,Alabama,48123,768
0100000US,0400000US35,35,47,New Mexico,46744,1195
0100000US,0400000US22,22,48,Louisiana,46145,634
0100000US,0400000US05,5,49,Arkansas,45869,760
0100000US,0400000US28,28,50,Mississippi,43529,855
0100000US,0400000US54,54,51,West Virginia,43469,1393
0100000US,0400000US72,72,,Puerto Rico,19343,404
