GeoName,2017 RPP
United States,100
Alabama,86.7
Alaska,104.4
Arizona,96.4
Arkansas,86.5
California,114.8
Colorado,103.2
Connecticut,108
Delaware,100.1
District of Columbia,116.9
Florida,99.9
Georgia,92.5
Hawaii,118.5
Idaho,93
Illinois,98.5
Indiana,89.8
Iowa,89.8
Kansas,90
Kentucky,87.9
Louisiana,90.1
Maine,98.4
Maryland,109.4
Massachusetts,107.9
Michigan,93
Minnesota,97.5
Mississippi,85.7
Missouri,89.5
Montana,94.6
Nebraska,89.6
Nevada,97.6
New Hampshire,105.8
New Jersey,112.9
New Mexico,93.3
New York,115.8
North Carolina,91.3
North Dakota,90.1
Ohio,88.9
Oklahoma,89
Oregon,99.5
Pennsylvania,97.9
Rhode Island,98.6
South Carolina,90.4
South Dakota,88.2
Tennessee,90.4
Texas,97
Utah,97
Vermont,102.5
Virginia,102.1
Washington,106.4
West Virginia,87
Wisconsin,92.4
Wyoming,95.2
